customers  sold      lost   fraction_served   overstock  end_stock   profit
   114     105         9         0.921          799         0       1930.10
   114     105         9         0.921         2114         0       1798.60
    90      85         5         0.944         7595        20        890.50
    95      90         5         0.947         4591        15       1290.90
   102      97         5         0.951         4463         8       1443.70
    99      97         2         0.980         2965         8       1623.50
    97      97         0         1.000         4230         8       1517.00
   102     100         2         0.980         2281         5       1751.90
   117     102        15         0.872          748         3       1815.20
   115     103        12         0.896          891         2       1850.90
   100      95         5         0.950         3451        10       1504.90
   109     105         4         0.963         1546         0       1905.40
   118     105        13         0.890          713         0       1898.70
    94      94         0         1.000         3107        11       1569.30
   101      94         7         0.931         1994        11       1610.60
   117     100        17         0.855          410         5       1789.00
   101      96         5         0.950         2950         9       1575.00
   119     101        18         0.849         1742         4       1665.80
    96      95         1         0.990         3068        10       1583.20
   106     100         6         0.943         1609         5       1779.10
   116     104        12         0.897          618         1       1898.20
   102     101         1         0.990         3330         4       1677.00
   119     103        16         0.866          827         2       1817.30
   100      97         3         0.970         2976         8       1612.40
    88      87         1         0.989         4064        18       1323.60
    91      90         1         0.989         5598        15       1230.20
   102      98         4         0.961         1395         7       1780.50
    95      93         2         0.979         3964        12       1443.60
   115     105        10         0.913         1598         0       1840.20
    97      95         2         0.979         2726        10       1607.40
    99      93         6         0.939         6132        12       1186.80
   105     100         5         0.952         1332         5       1816.80
   106     103         3         0.972         2593         2       1770.70
   101     101         0         1.000         3265         4       1693.50
   106      98         8         0.925          943         7       1785.70
    87      86         1         0.989         6818        19       1028.20
   124     105        19         0.847          396         0       1870.40
    99      99         0         1.000         5030         6       1477.00
   104      99         5         0.952         1185         6       1811.50
    83      83         0         1.000         7944        22        865.60
    83      83         0         1.000         6151        22       1044.90
   109     105         4         0.963         2032         0       1856.80
   101      99         2         0.980         3801         6       1579.90
   114     103        11         0.904          587         2       1891.30
   100      92         8         0.920         3799        13       1380.10
   121     105        16         0.868         1104         0       1829.60
   114     105         9         0.921         1546         0       1855.40
   111     103         8         0.928         1454         2       1834.60
   106     105         1         0.991         1224         0       1967.60
    99      97         2         0.980         1696         8       1750.40
   103     102         1         0.990         4147         3       1615.30
    92      91         1         0.989         7637        14       1046.30
   118     104        14         0.881          883         1       1851.70
   106     103         3         0.972         2027         2       1827.30
   104      94        10         0.904         3520        11       1428.00
   106      98         8         0.925         1488         7       1731.20
   106     101         5         0.953         3414         4       1628.60
    91      91         0         1.000         7666        14       1053.40
   110     103         7         0.936         1317         2       1858.30
    94      94         0         1.000         8895        11        990.50
    95      94         1         0.989         4727        11       1397.30
   112     103         9         0.920          813         2       1888.70
   101      99         2         0.980         2325         6       1727.50
    93      93         0         1.000         7254        12       1134.60
   105     103         2         0.981         2118         2       1828.20
   114     103        11         0.904         1024         2       1847.60
    94      94         0         1.000         3795        11       1500.50
   120     105        15         0.875          697         0       1880.30
   114     100        14         0.877         1160         5       1744.00
   105      95        10         0.905         2989        10       1501.10
   106      96        10         0.906         1856         9       1634.40
   111     102         9         0.919         1578         3       1792.20
   111     100        11         0.901          671         5       1822.90
   107     105         2         0.981         5125         0       1567.50
   112     103         9         0.920         1082         2       1861.80
   102      98         4         0.961         1700         7       1750.00
    88      84         4         0.955         6685        21        971.50
   114     105         9         0.921         2201         0       1789.90
    98      91         7         0.929         2815        14       1468.50
   111     104         7         0.937         1773         1       1832.70
   110      99        11         0.900         2125         6       1657.50
   111     100        11         0.901         2543         5       1635.70
   108     100         8         0.926         1790         5       1741.00
    99      98         1         0.990         3320         7       1618.00
   108      93        15         0.861         2881        12       1421.90
   106      93        13         0.877         3737        12       1356.30
   119     102        17         0.857          625         3       1807.50
    85      82         3         0.965         6132        23        996.80
   104      99         5         0.952         1095         6       1820.50
    99      93         6         0.939         4122        12       1387.80
   100      96         4         0.960         3800         9       1500.00
   110     101         9         0.918         1881         4       1741.90
   100      97         3         0.970         3512         8       1558.80
   105      99         6         0.943         3690         6       1551.00
   100      93         7         0.930         2695        12       1520.50
   102      96         6         0.941         2873         9       1572.70
    99      98         1         0.990         5898         7       1360.20
    92      92         0         1.000         5487        13       1291.30
   111     101        10         0.910         2353         4       1684.70
    88      88         0         1.000         6508        17       1109.20
    88      88         0         1.000         9974        17        762.60
    93      90         3         0.968         4188        15       1351.20
   100      98         2         0.980         2965         7       1643.50
   110     104         6         0.945         1779         1       1842.10
    89      89         0         1.000         6198        16       1160.20
   114     101        13         0.886          874         4       1802.60
   109     103         6         0.945         2804         2       1719.60
   108     101         7         0.935         1458         4       1804.20
   112     102        10         0.911         2637         3       1676.30
    90      90         0         1.000         5095        15       1290.50
   134     103        31         0.769          573         2       1692.70
   106     104         2         0.981         1727         1       1887.30
   110     104         6         0.945         1872         1       1832.80
   103      96         7         0.932         3311         9       1518.90
   102     101         1         0.990         1749         4       1835.10
   114     105         9         0.921         1761         0       1833.90
   106      98         8         0.925         1854         7       1694.60
   111     102         9         0.919         2350         3       1715.00
   115     104        11         0.904         2000         1       1770.00
    99      99         0         1.000         5564         6       1423.60
   100      99         1         0.990         3557         6       1614.30
   119     104        15         0.874          896         1       1840.40
    83      83         0         1.000         7194        22        940.60
    97      97         0         1.000         5727         8       1367.30
   116     104        12         0.897         1858         1       1774.20
   107     102         5         0.953         1515         3       1838.50
   109     100         9         0.917         3668         5       1543.20
   118     104        14         0.881          698         1       1870.20
   111     104         7         0.937         1476         1       1862.40
   106     103         3         0.972         2120         2       1818.00
    94      90         4         0.957         4157        15       1344.30
   102     100         2         0.980         3069         5       1673.10
   105     100         5         0.952         1456         5       1804.40
   106      94        12         0.887         2321        11       1527.90
   110     104         6         0.945         1419         1       1878.10
   104     103         1         0.990         5035         2       1546.50
   106     104         2         0.981         2699         1       1790.10
   101      93         8         0.921         2755        12       1504.50
    99      99         0         1.000         2808         6       1699.20
    96      96         0         1.000         4833         9       1436.70
    92      92         0         1.000         7728        13       1067.20
    98      98         0         1.000         4795         7       1480.50
   100     100         0         1.000         4221         5       1577.90
   118     104        14         0.881         1550         1       1785.00
   122     102        20         0.836          910         3       1749.00
    97      97         0         1.000         2234         8       1716.60
   107     104         3         0.972         2693         1       1780.70
   103     102         1         0.990         2340         3       1796.00
   112     101        11         0.902          597         4       1850.30
   103      98         5         0.951         1127         7       1797.30
   106     101         5         0.953         2053         4       1764.70
   103      97         6         0.942         2154         8       1664.60
   103      99         4         0.961         2196         6       1720.40
   111     104         7         0.937         1477         1       1862.30
   124     104        20         0.839         1191         1       1760.90
   111     105         6         0.946         2136         0       1826.40
   105      97         8         0.924         2569         8       1603.10
   102      98         4         0.961         2119         7       1708.10
   106     104         2         0.981         2582         1       1801.80
   118     105        13         0.890         1092         0       1860.80
    99      97         2         0.980         3741         8       1545.90
    98      98         0         1.000         2997         7       1660.30
   101      98         3         0.970         3357         7       1594.30
   112     101        11         0.902         1580         4       1752.00
    95      93         2         0.979         4916        12       1348.40
   108     102         6         0.944          844         3       1895.60
   105     100         5         0.952         2583         5       1691.70
   111     104         7         0.937         1515         1       1858.50
   100      94         6         0.940         4436        11       1376.40

   average profit     =    1594.71
   standard deviation =     263.44
