customers  sold      lost   fraction_served   overstock  end_stock   profit
   101     101         0         1.000         1912         4       1828.80
   116     105        11         0.905         1307         0       1859.30
    99      94         5         0.949         3487        11       1481.30
   115      99        16         0.861         1749         6       1645.10
   109     104         5         0.954         2527         1       1777.30
   108      98        10         0.907         1721         7       1687.90
    97      96         1         0.990         4028         9       1507.20
   103      97         6         0.942         2071         8       1672.90
    99      99         0         1.000         4368         6       1543.20
    96      95         1         0.990         3368        10       1553.20
   116     101        15         0.871         1410         4       1729.00
   106      98         8         0.925         2628         7       1617.20
    88      88         0         1.000         8676        17        892.40
   116      99        17         0.853         1287         6       1681.30
   119     102        17         0.857          403         3       1829.70
    99      99         0         1.000         2763         6       1703.70
    96      94         2         0.979         2964        11       1563.60
    93      89         4         0.957         4654        16       1274.60
   105     101         4         0.962         2462         4       1733.80
   113     105         8         0.929         1195         0       1900.50
   116     105        11         0.905          668         0       1923.20
    82      82         0         1.000         7335        23        906.50
   106     100         6         0.943         2383         5       1701.70
   102      99         3         0.971         4536         6       1496.40
   106     101         5         0.953         1024         4       1867.60
    90      90         0         1.000         5866        15       1213.40
    97      97         0         1.000         4388         8       1501.20
   111     101        10         0.910         1307         4       1789.30
    99      97         2         0.980         1998         8       1720.20
    90      90         0         1.000         6672        15       1132.80
    98      97         1         0.990         3196         8       1610.40
   102     101         1         0.990         2012         4       1808.80
   108     103         5         0.954         1769         2       1833.10
   102      99         3         0.971         4855         6       1464.50
   102      98         4         0.961         2256         7       1694.40
   104      95         9         0.913         4558        10       1354.20
   108     102         6         0.944         3450         3       1635.00
   105      99         6         0.943         1873         6       1732.70
    90      90         0         1.000         6887        15       1111.30
    95      95         0         1.000         6968        10       1203.20
   104     103         1         0.990         4226         2       1627.40
   117     105        12         0.897         1059         0       1874.10
    98      98         0         1.000         4703         7       1489.70
    92      89         3         0.967         6365        16       1113.50
   101      98         3         0.970         2541         7       1675.90
   111      97        14         0.874         1208         8       1679.20
   115     101        14         0.878         1887         4       1691.30
   104     100         4         0.962         4806         5       1479.40
   102      97         5         0.951         2475         8       1642.50
   107     104         3         0.972         1955         1       1854.50
   103      96         7         0.932         2872         9       1562.80
    93      93         0         1.000         5842        12       1275.80
   119     103        16         0.866          672         2       1832.80
   110      95        15         0.864         2658        10       1484.20
   108     101         7         0.935         1425         4       1807.50
    97      94         3         0.969         5339        11       1316.10
   104     104         0         1.000         3777         1       1702.30
    97      97         0         1.000         3693         8       1570.70
   108     100         8         0.926         2523         5       1667.70
   104      97         7         0.933         1965         8       1673.50
   109     105         4         0.963         1035         0       1956.50
   108     102         6         0.944         1648         3       1815.20
    88      87         1         0.989         6733        18       1056.70
   128     100        28         0.781          608         5       1659.20
    93      93         0         1.000         5278        12       1332.20
   115     101        14         0.878          766         4       1803.40
    98      94         4         0.959         3935        11       1446.50
    92      85         7         0.924         5360        20       1094.00
   114     104        10         0.912         1367         1       1843.30
   102     102         0         1.000         4373         3       1602.70
   103     100         3         0.971         2517         5       1718.30
    96      94         2         0.979         6057        11       1254.30
    92      92         0         1.000         6972        13       1142.80
    94      94         0         1.000         6242        11       1255.80
   104     101         3         0.971         1794         4       1810.60
   104      97         7         0.933         2593         8       1610.70
    94      94         0         1.000         4244        11       1455.60
    83      81         2         0.976         8622        24        737.80
   103      97         6         0.942         4064         8       1473.60
   105     104         1         0.990         1971         1       1872.90
   103     100         3         0.971         2064         5       1763.60
    91      91         0         1.000         6040        14       1216.00
   103      97         6         0.942         3541         8       1525.90
    96      93         3         0.969         4483        12       1381.70
    91      91         0         1.000         6971        14       1122.90
   114     101        13         0.886         1401         4       1749.90
   100     100         0         1.000         3121         5       1687.90
   110     105         5         0.955         1520         0       1898.00
    92      92         0         1.000         4708        13       1369.20
   104      93        11         0.894         2456        12       1504.40
    96      92         4         0.958         5168        13       1283.20
   114     105         9         0.921          658         0       1944.20
   107      98         9         0.916         2528         7       1617.20
   108     100         8         0.926         2050         5       1715.00
   100      98         2         0.980         3056         7       1634.40
   106     102         4         0.962         1739         3       1826.10
    89      87         2         0.978         9514        18        768.60
   104      98         6         0.942         2573         7       1642.70
    92      91         1         0.989         4043        14       1405.70
   104     103         1         0.990         1859         2       1864.10
   105     105         0         1.000         4193         0       1680.70
    88      88         0         1.000         6545        17       1105.50
   106     103         3         0.972         2308         2       1799.20
   113      99        14         0.876         1278         6       1712.20
    98      92         6         0.939         3237        13       1456.30
    84      84         0         1.000         7629        21        917.10
    96      93         3         0.969         3087        12       1521.30
   103      98         5         0.951         2433         7       1666.70
   118     102        16         0.864          613         3       1818.70
    94      94         0         1.000         4841        11       1395.90
    95      95         0         1.000         4452        10       1454.80
   100      96         4         0.960         4655         9       1414.50
    93      91         2         0.978         3670        14       1433.00
   120     104        16         0.867          474         1       1872.60
   110     104         6         0.945          743         1       1945.70
    96      95         1         0.990         2975        10       1592.50
    91      89         2         0.978         6966        16       1063.40
    96      94         2         0.979         3329        11       1527.10
   101      93         8         0.921         1982        12       1581.80
    98      98         0         1.000         4666         7       1493.40
   119     102        17         0.857          406         3       1829.40
   106      98         8         0.925         4025         7       1477.50
    98      97         1         0.990         3612         8       1568.80
   112     103         9         0.920         2212         2       1748.80
    88      88         0         1.000         7364        17       1023.60
   113     103        10         0.912         1071         2       1852.90
    97      97         0         1.000         4949         8       1445.10
   104      99         5         0.952         1030         6       1827.00
   109     102         7         0.936         1374         3       1832.60
   106     101         5         0.953         2770         4       1693.00
   101      98         3         0.970         2421         7       1687.90
   104      96         8         0.923         3187         9       1521.30
   122     102        20         0.836          622         3       1777.80
    93      93         0         1.000         5908        12       1269.20
   118      99        19         0.839          957         6       1694.30
   110     105         5         0.955         2016         0       1848.40
   124     103        21         0.831          473         2       1802.70
   109     105         4         0.963         1651         0       1894.90
   102      98         4         0.961         2630         7       1657.00
   103     100         3         0.971         7205         5       1249.50
    98      93         5         0.949         4595        12       1350.50
   101     100         1         0.990         1819         5       1808.10
   108      99         9         0.917          854         6       1804.60
   107     102         5         0.953         2221         3       1767.90
   114     103        11         0.904         1301         2       1819.90
   112     100        12         0.893         1664         5       1713.60
   101     101         0         1.000         3783         4       1641.70
   111     104         7         0.937         2860         1       1724.00
   122     104        18         0.852          838         1       1816.20
    94      92         2         0.979         5158        13       1304.20
   111      95        16         0.856         1998        10       1540.20
   104      96         8         0.923         2325         9       1607.50
   107     100         7         0.935         2048         5       1725.20
    90      89         1         0.989         4245        16       1345.50
   101      94         7         0.931         2627        11       1547.30
   111     105         6         0.946          675         0       1972.50
    89      89         0         1.000         4720        16       1308.00
   107      98         9         0.916         1809         7       1689.10
    98      96         2         0.980         3421         9       1557.90
   108     102         6         0.944         2992         3       1680.80
    93      89         4         0.957         5328        16       1207.20
    97      96         1         0.990         4303         9       1479.70
   104     102         2         0.981         3458         3       1674.20
    82      80         2         0.976        10556        25        524.40
   105     102         3         0.971         1874         3       1822.60
   103     100         3         0.971         3841         5       1585.90
    98      96         2         0.980         2296         9       1670.40
   120     101        19         0.842          645         4       1765.50
   107     103         4         0.963         2181         2       1801.90
   107     100         7         0.935         1473         5       1782.70
   108     100         8         0.926         1503         5       1769.70
   108     103         5         0.954          977         2       1912.30
    93      93         0         1.000         7063        12       1153.70
   109     102         7         0.936         1175         3       1852.50
   102     102         0         1.000         3748         3       1665.20
   101      98         3         0.970         2514         7       1678.60
   117     101        16         0.863         1160         4       1744.00
   109     102         7         0.936         1711         3       1798.90
   109     104         5         0.954         1669         1       1863.10
   102      99         3         0.971         1799         6       1770.10
   102     102         0         1.000         2608         3       1779.20
   106     102         4         0.962         3021         3       1697.90
    93      92         1         0.989         4598        13       1370.20
    97      94         3         0.969         4420        11       1408.00
   119     105        14         0.882          992         0       1860.80
    99      96         3         0.970         2095         9       1680.50
   110     103         7         0.936         1611         2       1828.90
   108     105         3         0.972         2426         0       1827.40
   101      98         3         0.970         2379         7       1692.10
    81      81         0         1.000        10164        24        603.60
    92      92         0         1.000         6122        13       1227.80
   105      98         7         0.933         4861         7       1403.90
   105     100         5         0.952         1996         5       1750.40
    95      95         0         1.000         6753        10       1224.70
   102     100         2         0.980         3003         5       1679.70
   103      99         4         0.961         2131         6       1726.90
   113     102        11         0.903          950         3       1835.00
   111     101        10         0.910         1829         4       1737.10
    89      89         0         1.000         4414        16       1338.60
   112     104         8         0.929         1287         1       1871.30
    95      95         0         1.000         4458        10       1454.20
   121      99        22         0.818          797         6       1680.30
    93      93         0         1.000         5758        12       1284.20
    97      96         1         0.990         3073         9       1602.70
   108     100         8         0.926         2123         5       1707.70
   129     105        24         0.814          808         0       1779.20
   107      96        11         0.897         1001         9       1709.90
   112     104         8         0.929          915         1       1908.50
   105     102         3         0.971         2424         3       1767.60
    95      92         3         0.968         7554        13       1054.60
   106     103         3         0.972         3730         2       1657.00
    97      92         5         0.948         3357        13       1454.30
